channelId,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCIcCXe3iWo6lq-iWKV40Oug,56423799,859000.0,False,208
UC4Oy0UtQpTBGX46q_OkWzXg,36286060,456000.0,False,399
UCIUtwq6jMFYQj2ASOj95TGw,4059952,40600.0,False,241
UC1kdsZUTDSW1BtsHEoYx4WQ,275182693,597000.0,False,6987
UCsgaFTYm3fvDnkPWb-FIa_w,508262,7840.0,False,19
UC-_r3ybLeGdNfca0UriJ6XA,6730656,84200.0,False,312
UC-kJP3JSsbXLl5VbIoi2HXA,1382837,33900.0,False,30
UCVNOTKi3V2eCZo5Zy0JI8Fg,1676890,,True,5
UC3yTbQJCyIx1hJRS5pK_c0A,22418984,217000.0,False,1308
UCqKRlX8Pi6xg-lAAzkt3wfA,71185334,323000.0,False,408
UCxRB1WoWWNMbsrAWLR3fO7g,1659413,29100.0,False,31
UCtYw-H_L5D09T9uWeNBUvqg,76811797,540000.0,False,809
UCOPnbUqPRKNU1Sm_tSIOtGg,21223618,268000.0,False,110
UC2NOIMgMDACbqjLyH9tN1Xw,99474,1140.0,False,40
UCMeZ28znRNzSmHdQi1zXBog,1622265,46800.0,False,211
UCAE7Doxo5WQRjLPz7JYa7Fw,24625059,371000.0,False,102
UCgqFqBj99yyRHFOubzj3LaA,4495866,49900.0,False,454
UChfc4PBqDR_Ho0jWADYiQKQ,611023,4210.0,False,325
UCsjuMjlQ6CN8BbP6neDlK3g,17133436,223000.0,False,91
UCg6zl8ARb8cpHNvBSTJ3pTA,3135996,30500.0,False,311
UCqg4M9-TjrPc-NARlfTee7A,13145438,157000.0,False,178
UCNca794AmT8UYX0-4Dk2IMQ,1318873,9920.0,False,238
UCNwsxpZwRPgxMJ8zpWwXcPg,40445,675.0,False,52
UCqPdU0C6sIx_kkEoAcW9hSQ,16500324,192000.0,False,185
UCwg1nBoNn5mpzshbgCRq4-g,159940,3060.0,False,59
UCAAsUXCwZZvx97PVO_nb3LA,3998345,29400.0,False,383
UC_wtYbYpUuVPJwQjveVGp6Q,1987649,17700.0,False,46
UCUtzw2QD1HM6zvOnN941qJQ,113767,4040.0,False,18
UCr21sgtdNLTE0bl64rIyMKw,111613732,615000.0,False,186
UCv-PLuI1ntOuW8DGw7RBtww,566414,6620.0,False,52
UCHzcS9Hm5dieyRWDMY-earw,126400818,807000.0,False,3635
UCmRRUATCbsWgBc9vpPyoaAw,6072911,48000.0,False,37
UCSaieSZa-q0FNLcr3bTYHsw,1096248,14600.0,False,40
UCzMmESEanMmEGEXR2HK-lhw,674637,5100.0,False,151
UCDU1ULcAb0OMgv0Xi0CbYYw,21384658,51900.0,False,3047
UC69lcl1ALdc7uxuL4OzqI5Q,1767096,11800.0,False,201
UCIWNozFjO8yVdJFsGKVmPgg,45503091,437000.0,False,1315
UCrbPhegWpRRe3v2SKR7g-Nw,832185,1400.0,False,37
UC9Pu39aEO77HzgdEXRwPbKg,23288344,138000.0,False,108
UCWgO3P-M2bxMpLNmrgRPCYA,1472328,8230.0,False,197
